Date,Close
4/24/2017,110.25
4/25/2017,113.15
4/26/2017,112.55
4/27/2017,111.18
4/28/2017,111.61
5/1/2017,111.97
5/2/2017,110.93
5/3/2017,110.79
5/4/2017,112.03
5/5/2017,113.11
5/8/2017,112.64
5/9/2017,113.58
5/10/2017,113.55
5/11/2017,113.47
5/12/2017,113.11
5/15/2017,113.8
5/16/2017,114.8
5/17/2017,113.23
5/18/2017,112.67
5/19/2017,120.9
5/22/2017,121.71
5/23/2017,122.13
5/24/2017,122.78
5/25/2017,122.43
5/26/2017,122.79
5/30/2017,122.26
5/31/2017,122.46
6/1/2017,124.7
6/2/2017,124.91
6/5/2017,125.33
6/6/2017,125.05
6/7/2017,125.29
6/8/2017,126
6/9/2017,125.95
6/12/2017,126
6/13/2017,126.42
6/14/2017,126.43
6/15/2017,126.37
6/16/2017,127.9
6/19/2017,126.99
6/20/2017,126.04
6/21/2017,124.78
6/22/2017,123.86
6/23/2017,123.6
6/26/2017,123.35
6/27/2017,122
6/28/2017,123.47
6/29/2017,121.91
6/30/2017,123.59
7/3/2017,124.95
7/5/2017,125.6
7/6/2017,125.09
7/7/2017,126.64
7/10/2017,128.14
7/11/2017,128.06
7/12/2017,123.48
7/13/2017,124.42
7/14/2017,125.47
7/17/2017,125.88
7/18/2017,126.09
7/19/2017,126.31
7/20/2017,125.6
7/21/2017,125.75
7/24/2017,126.55
7/25/2017,127.9
7/26/2017,127.82
7/27/2017,128.44
7/28/2017,128.91
7/31/2017,128.28
8/1/2017,129.02
8/2/2017,128.98
8/3/2017,129.51
8/4/2017,129.75
8/7/2017,129.96
8/8/2017,132.02
8/9/2017,132.41
8/10/2017,127.78
8/11/2017,126.7
8/14/2017,128.57
8/15/2017,127.18
8/16/2017,126.63
8/17/2017,123.98
8/18/2017,117.31
8/21/2017,116.52
8/22/2017,117.48
8/23/2017,116.45
8/24/2017,115.44
8/25/2017,115.84
8/28/2017,115.96
8/29/2017,115.89
8/30/2017,115.49
8/31/2017,115.93
9/1/2017,116.14
9/5/2017,115.53
9/6/2017,116.22
9/7/2017,116.33
9/8/2017,117.3
9/11/2017,117.93
9/12/2017,117.26
9/13/2017,117.37
9/14/2017,118.37
9/15/2017,119.01
9/18/2017,119.89
9/19/2017,123.08
9/20/2017,123.95
9/21/2017,124.78
9/22/2017,123.75
9/25/2017,123.77
9/26/2017,123.28
9/27/2017,123.32
9/28/2017,123.66
9/29/2017,125.59
10/2/2017,127.29
10/3/2017,128.1
10/4/2017,128.33
10/5/2017,128.01
10/6/2017,128.13
10/9/2017,128.64
10/10/2017,128.25
10/11/2017,127.77
10/12/2017,128.5
10/13/2017,127.91
10/16/2017,127.72
10/17/2017,128.69
10/18/2017,128.72
10/19/2017,128.52
10/20/2017,129.15
10/23/2017,129.59
10/24/2017,131.02
10/25/2017,130.56
10/26/2017,132.14
10/27/2017,133.25
10/30/2017,132.3
10/31/2017,132.88
11/1/2017,134.27
11/2/2017,134.44
11/3/2017,135.03
11/6/2017,135.31
11/7/2017,135.71
11/8/2017,134.64
11/9/2017,131.28
11/10/2017,132.23
11/13/2017,131.91
11/14/2017,132.88
11/15/2017,132.27
11/16/2017,134.61
11/17/2017,135.77
11/20/2017,136.92
11/21/2017,139.23
11/22/2017,145.25
11/24/2017,145.5
11/27/2017,148.77
11/28/2017,149.38
11/29/2017,148.44
11/30/2017,149.86
12/1/2017,149.94
12/4/2017,150.97
12/5/2017,150.67
12/6/2017,149.45
12/7/2017,151.11
12/8/2017,151.58
12/11/2017,151.33
12/12/2017,151.07
12/13/2017,151.95
12/14/2017,149.44
12/15/2017,150.87
12/18/2017,154.04
12/19/2017,154.48
12/20/2017,154.37
12/21/2017,155.86
12/22/2017,157.53
12/26/2017,158.75
12/27/2017,158.58
12/28/2017,157.7
12/29/2017,156.51
1/2/2018,158.01
1/3/2018,158.73
1/4/2018,159.64
1/5/2018,160.32
1/8/2018,161.11
1/9/2018,165.6
1/10/2018,164.94
1/11/2018,167.46
1/12/2018,169.3
1/16/2018,167.54
1/17/2018,167.43
1/18/2018,167.9
1/19/2018,170.32
1/22/2018,170.38
1/23/2018,168.66
1/24/2018,169.6
1/25/2018,169.13
1/26/2018,171.49
1/29/2018,169.18
1/30/2018,168.51
1/31/2018,166.42
2/1/2018,167.85
2/2/2018,164.96
2/5/2018,157.02
2/6/2018,161.88
2/7/2018,161.44
2/8/2018,153.66
2/9/2018,154.93
2/12/2018,159.21
2/13/2018,161.3
2/14/2018,163.28
2/15/2018,166.81
2/16/2018,169.44
2/20/2018,164.77
2/21/2018,162.09
2/22/2018,164.16
2/23/2018,166.24
2/26/2018,167.46
2/27/2018,163.58
2/28/2018,160.87
3/1/2018,156.81
3/2/2018,153.31
3/5/2018,157.54
3/6/2018,158.51
3/7/2018,157.9
3/8/2018,161.06
3/9/2018,167.93
3/12/2018,164.03
3/13/2018,161.32
3/14/2018,160.21
3/15/2018,159.6
3/16/2018,163.88
3/19/2018,159.53
3/20/2018,159.99
3/21/2018,158.05
3/22/2018,151.58
3/23/2018,148
3/26/2018,153.34
3/27/2018,152.16
3/28/2018,151.48
3/29/2018,155.32
4/2/2018,151.82
4/3/2018,153.04
4/4/2018,148.57
4/5/2018,151.34
4/6/2018,145.39
4/9/2018,142.96
4/10/2018,148.01
4/11/2018,144.41
4/12/2018,150.26
4/13/2018,149.98
4/16/2018,148.98
4/17/2018,149.15
4/18/2018,149.77
4/19/2018,148.1
4/20/2018,146.96
4/23/2018,146.04
4/24/2018,138.11
4/25/2018,138
4/26/2018,136.33
4/27/2018,137.56
4/30/2018,135.33
5/1/2018,135.37
5/2/2018,134.75
5/3/2018,136.87
5/4/2018,137.3
5/7/2018,140.22
5/8/2018,142.07
5/9/2018,145.16
5/10/2018,146.61
5/11/2018,147.32
5/14/2018,146.75
5/15/2018,145.53
5/16/2018,147.35
5/17/2018,146.81
5/18/2018,155.25
5/21/2018,158.33
5/22/2018,155.09
5/23/2018,156.58
5/24/2018,158.18
5/25/2018,159
5/29/2018,155.01
5/30/2018,155.08
5/31/2018,149.51
6/1/2018,153.39
6/4/2018,151.54
6/5/2018,154.45
6/6/2018,158.55
6/7/2018,158.65
6/8/2018,157.12
6/11/2018,156.68
6/12/2018,157.59
6/13/2018,153.34
6/14/2018,150.18
6/15/2018,148.75
6/18/2018,147.79
6/19/2018,142.28
6/20/2018,144.35
6/21/2018,142.01
6/22/2018,143.17
6/25/2018,139.65
6/26/2018,139.65
6/27/2018,139.38
6/28/2018,139.42
6/29/2018,139.8
7/2/2018,141.16
7/3/2018,140.24
7/5/2018,139.7
7/6/2018,139.98
7/9/2018,144.42
7/10/2018,144.55
7/11/2018,141.42
7/12/2018,140.8
7/13/2018,137.58
7/16/2018,136.27
7/17/2018,138
7/18/2018,139.21
7/19/2018,140.3
7/20/2018,137.17
7/23/2018,135.53
7/24/2018,139.84
7/25/2018,141.32
7/26/2018,142.73
7/27/2018,140.8
7/30/2018,138.2
7/31/2018,144.79
8/1/2018,141.91
8/2/2018,142.09
8/3/2018,143.36
8/6/2018,143.93
8/7/2018,146.12
8/8/2018,144.81
8/9/2018,139.83
8/10/2018,137.05
8/13/2018,136.91
8/14/2018,138.65
8/15/2018,135.7
8/16/2018,137.35
8/17/2018,140.59
8/20/2018,140.53
8/21/2018,143.83
8/22/2018,142.61
8/23/2018,141.18
8/24/2018,144.76
8/27/2018,146.2
8/28/2018,146.5
8/29/2018,145.99
8/30/2018,143.32
8/31/2018,143.8
9/4/2018,141.7
9/5/2018,144.88
9/6/2018,145.1
9/7/2018,147.63
9/10/2018,148.61
9/11/2018,148.6
9/12/2018,147.78
9/13/2018,148.87
9/14/2018,147.76
9/17/2018,149.04
9/18/2018,149.04
9/19/2018,152.39
9/20/2018,154.07
9/21/2018,152.81
9/24/2018,151.55
9/25/2018,151.29
9/26/2018,152.32
9/27/2018,151.22
9/28/2018,150.33
10/1/2018,150.86
10/2/2018,154.82
10/3/2018,158.21
10/4/2018,158.31
10/5/2018,156.4
10/8/2018,153.82
10/9/2018,150.45
10/10/2018,147.46
10/11/2018,146.47
10/12/2018,148.42
10/15/2018,148.45
10/16/2018,151.96
10/17/2018,151.64
10/18/2018,147.2
10/19/2018,145.91
10/22/2018,145.44
10/23/2018,139.63
10/24/2018,133.89
10/25/2018,136.78
10/26/2018,133
10/29/2018,130.56
10/30/2018,132.76
10/31/2018,135.44
11/1/2018,140.65
11/2/2018,141.72
11/5/2018,142.65
11/6/2018,145.47
11/7/2018,148.43
11/8/2018,146.67
11/9/2018,144.81
11/12/2018,144.57
11/13/2018,147.23
11/14/2018,147.22
11/15/2018,146.7
11/16/2018,147.87
11/19/2018,142.57
11/20/2018,138.52
11/21/2018,141.88
11/23/2018,142.84
11/26/2018,148.92
11/27/2018,147.81
11/28/2018,152.01
11/29/2018,149.97
11/30/2018,154.88
12/3/2018,162.21
12/4/2018,151.59
12/6/2018,154.39
12/7/2018,147.26
12/10/2018,147.03
12/11/2018,147
12/12/2018,148.14
12/13/2018,148.31
12/14/2018,149.01
12/17/2018,146.08
12/18/2018,149.23
12/19/2018,146.08
12/20/2018,144.64
12/21/2018,142.99
12/24/2018,137.38
12/26/2018,143.27
12/27/2018,146.72
12/28/2018,145.28
12/31/2018,149.17
1/2/2019,148.1
1/3/2019,144.05
1/4/2019,151.68
1/7/2019,154.16
1/8/2019,156.92
1/9/2019,154.33
1/10/2019,159.12
1/11/2019,158.28
1/14/2019,157.41
1/15/2019,157.05
1/16/2019,157.41
1/17/2019,160.07
1/18/2019,164.61
1/22/2019,158.84
1/23/2019,157.61
1/24/2019,158.43
1/25/2019,161.5
1/28/2019,156.49
1/29/2019,160.48
1/30/2019,162.91
1/31/2019,164
2/1/2019,163.88
2/4/2019,164.51
2/5/2019,164.21
2/6/2019,163.68
2/7/2019,161.8
2/8/2019,162.75
2/11/2019,161.94
2/12/2019,165.19
2/13/2019,162.7
2/14/2019,162.42
2/15/2019,158.99
2/19/2019,157.26
2/20/2019,159.88
2/21/2019,162.85
2/22/2019,165.97
2/25/2019,164.86
2/26/2019,163.8
2/27/2019,163.59
2/28/2019,164.04
3/1/2019,163.31
3/4/2019,165.82
3/5/2019,161.45
3/6/2019,158.24
3/7/2019,158.02
3/8/2019,159.01
3/11/2019,160.42
3/12/2019,159.14
3/13/2019,159.68
3/14/2019,157.76
3/15/2019,158.15
3/18/2019,160.3
3/19/2019,160.97
3/20/2019,159.66
3/21/2019,159.73
3/22/2019,155.94
3/25/2019,157.33
3/26/2019,157.6
3/27/2019,158.27
3/28/2019,158.08
3/29/2019,159.84
4/1/2019,161.91
4/2/2019,162.12
4/3/2019,163.39
4/4/2019,164.24
4/5/2019,165.03
4/8/2019,165
4/9/2019,158.83
4/10/2019,158.63
4/11/2019,160.16
4/12/2019,161.46
4/15/2019,162.49
4/16/2019,164.56
4/17/2019,165.45
4/18/2019,169.05
4/22/2019,169.15
